School ID,school_name,division,region,median_pctile,iqr_pctile,frac_top_n,mean_rank,rank_sd
109397,Exodus Elementary School,Rizal,Region IV-A,0.4460641399416909,0.028439672572325658,0.0,9937.314,396.3456665639224
125279,Blancia CES,Zamboanga del Sur,Region IX,0.44603610675039246,0.10449372056514905,0.0,9674.926,1378.6780322192706
109308,Bilibiran Elementary School,Rizal,Region IV-A,0.4459800403677955,0.05146893922404122,0.0,9825.938,671.7072473600385
108556,Aluyon ES,Quezon,Region IV-A,0.44595200717649697,0.041405023547880726,0.0,9893.836,487.33455562272616
116503,Bayag ES,Iloilo,Region VI,0.44592397398519845,0.04653509755550572,0.0,9926.32,588.182078611717
125109,Sicade ES,Zamboanga del Sur,Region IX,0.4458959407939,0.008606189728638691,0.0,9914.788,136.50693409493894
132023,Butuan Central Elementary School,Butuan City,CARAGA,0.4458959407939,0.11148800179412416,0.0,9870.358,1344.8018790275391
101236,Dacap Norte Elementary School,"Pangasinan I, Lingayen",Region I,0.44575577483740747,0.047978806907378324,0.0,9931.678,616.0247513826047
501406,Bayanihan Integrated School,Davao City,Region XI,0.4456997084548105,0.01541825521417356,0.0,9922.018,193.68000845724887
119019,Biasong ES,Cebu,Region VII,0.44567167526351203,0.011297376093294509,0.0,9911.684,155.67863098061983
129921,Naje ES,North Cotabato,Region XII,0.445615608880915,0.0052422067728190025,0.0,9892.174,74.52408821314086
101475,Kadampat ES,"Pangasinan I, Lingayen",Region I,0.445615608880915,0.11098340435075127,0.0,9879.69,1364.0607735361355
164524,SAN JUAN ES (Bubukal ES-Annex),Laguna,Region IV-A,0.445615608880915,0.08922964790311727,0.0,9893.11,1174.71804016964
114572,Gimaloto ES,Sorsogon City,Region V,0.4455875756896165,0.04590435075128946,0.0,9986.186,567.3138103413313
104874,Lugam Elementary School,Malolos City,Region III,0.4455315093070195,0.029967481498093806,0.0,9899.612,391.18719490290067
105740,San Anton Elementary School,Nueva Ecija,Region III,0.445447409733124,0.06245795021305223,0.0,9785.024,882.0629294012984
104092,Macalong Elementary School,Nueva Vizcaya,Region II,0.445391343350527,0.06593406593406598,0.0,9966.468,882.8119669419983
135265,Ili ES,Apayao,CAR,0.44516707782013903,0.17126878223816994,0.0,9821.336,1895.942198249725
101194,San Jose ES,Alaminos City,Region I,0.44499887867234805,0.023660013455931772,0.0,9911.152,318.9280183615105
105019,M. Del Rosario MS,Bulacan,Region III,0.44499887867234805,0.025356021529490957,0.0,9928.63,349.5277915988942
106051,San Jose Gumi Integrated School,Pampanga,Region III,0.4449428122897511,0.040550011213276504,0.0,10025.742,531.0574276252993
502071,Matictic Integrated School,Bulacan,Region III,0.44488674590715405,0.048777752859385515,0.0,9960.426,613.5694716362607
173001,Emiliano Pabico ES,Camarines Norte,Region V,0.4446624803767661,0.007611011437542059,0.0,9916.304,100.37979669236236
130995,Ala Central School,Sultan Kudarat,Region XII,0.4446064139941691,0.13901659564924873,0.0,9752.102,1699.6979695216442
502696,Santiago North Central School- Integrated Sped Center,Santiago City,Region II,0.44452231442027357,0.06394370935187266,0.0,9924.432,824.9759398770366
119901,Mabolo ES,Cebu City,Region VII,0.44452231442027357,0.016399416909621045,0.0,9968.23,249.24555181587493
132644,Bacolod Elementary School,Surigao del Sur,CARAGA,0.44452231442027357,0.03349966360170442,0.0,9983.806,515.1602395022348
119911,Bonbon ES,Cebu City,Region VII,0.44435411527248264,0.06872336846826638,0.0,10244.012,1137.2082130621463
129684,Batolusa ES,Davao City,Region XI,0.4443260820811841,0.036190849966360183,0.0,9915.782,476.98641749634754
127006,Dongo-an ES,Lanao del Norte,Region X,0.44429804888988567,0.10194270015698587,0.0,9689.158,1410.4166778069523
117916,Bacuranan ES,Passi City,Region VI,0.44415788293339314,0.03017773043283245,0.0,9967.236,409.12207995169365
114505,Concepcion Grande ES,Naga City,Region V,0.44407378335949765,0.018501906257008316,0.0,9880.106,240.23346720221977
502208,Labason Integrated School,Zamboanga del Norte,Region IX,0.4440177169769006,0.42433841668535544,0.0,9257.772,4556.407351852554
111731,Malobago ES (Guinobatan West),Albay,Region V,0.44398968378560216,0.010077932271809809,0.0,9926.346,126.54151209780923
501317,Bayabo East Integrated School,Isabela,Region II,0.44384951782910964,0.09018277640726619,0.0,9958.184,1074.2365131310703
500237,Gadgaran Integrated School,Calbayog City,Region VIII,0.44379345144651267,0.20052141735815204,0.0,9587.504,2272.9557210786134
