,default,level_focused,delta_focused,mean_only,equal
default,1.0,0.6129032258064516,0.5873015873015873,0.8518518518518519,0.8181818181818182
level_focused,0.6129032258064516,1.0,0.3333333333333333,0.5625,0.5384615384615384
delta_focused,0.5873015873015873,0.3333333333333333,1.0,0.5873015873015873,0.6129032258064516
mean_only,0.8518518518518519,0.5625,0.5873015873015873,1.0,0.6949152542372882
equal,0.8181818181818182,0.5384615384615384,0.6129032258064516,0.6949152542372882,1.0
