School ID,school_name,division,region,median_pctile,iqr_pctile,frac_top_n,mean_rank,rank_sd
128996,Lagumit Elementary School,Davao Occidental,Region XI,0.714759090094931,0.048211833542301075,0.0,4939.096,637.0217349384557
107942,San Gabriel III Elementary School,Cavite,Region IV-A,0.714759090094931,0.062511194698191,0.0,4814.818,747.7885749835979
130000,Katidtuan Central Elementary School,North Cotabato,Region XII,0.7147292375664218,0.08022867036838022,0.0,5074.5,1112.049510588445
106075,Dapdap ES,Mabalacat City,Region III,0.7147292375664218,0.08710967818974269,0.0,5162.614,1344.124552637887
131394,Marbel 1 CES,Koronadal City,Region XII,0.7146993850379127,0.023076004537584405,0.0,4772.534,288.2947534104636
117447,Victorias North ES,Victorias City,NIR,0.7146396799808944,0.13614245626604582,0.0,4956.334,1535.8035116654733
111020,Calitang Elementary School,Palawan,Region IV-B,0.714579974923876,0.00994089199355186,0.0,4840.686,199.76202693204732
128312,Lower Ampawid ES,Davao De Oro,Region XI,0.7144605648098394,0.04309212490297931,0.0,5055.234,764.318566596416
115875,Sta. Teresa ES (Guimaras),Guimaras,Region VI,0.7144605648098394,0.10884231894441454,0.0,4878.418,1327.7897933317608
113559,Recodo ES,Masbate,Region V,0.7144008597528211,0.09805062988835156,0.0,4862.784,1183.5257822895114
125178,Boniao ES,Zamboanga del Sur,Region IX,0.7143710072243119,0.0808704997313272,0.0,5309.924,1367.5618502371292
101703,Pindangan West ES,"Pangasinan II, Binalonan",Region I,0.7143710072243119,0.12847035643919047,0.0,4969.722,1512.1449483154713
117323,Pulupandan East ES,Negros Occidental,NIR,0.7142814496387844,0.02628515135231957,0.0,4784.462,326.55729138391627
126209,Rio Hondo ES,Zamboanga City,Region IX,0.7141023344677294,0.09085617051764283,0.0,5303.84,1438.4026788072943
114177,Sibago ES,Sorsogon,Region V,0.7139829243536928,0.10752880769001127,0.0,5195.672,1510.1487530756697
126011,Latuan Elementary School,Isabela City,Region IX,0.7139530718251836,0.019583258702012163,0.0,4775.486,223.8780958557581
104445,Dinalungan CS,Aurora,Region III,0.7138336617111469,0.1595020598244672,0.0,4928.868,1828.996865655051
128486,Cabidianan ES,Davao De Oro,Region XI,0.713684399068601,0.03822616275598545,0.0,4816.546,435.8358818225044
112481,Lugsad ES,Camarines Sur,Region V,0.713475431369037,0.06400382112364922,0.0,5089.768,1025.9956735659268
105745,Adorable Elementary School,Nueva Ecija,Region III,0.7134157263120187,0.10688697832706429,0.0,4870.792,1226.759419257093
113002,Grijalvo ES,Camarines Sur,Region V,0.7134157263120187,0.17681652635978273,0.0,5172.32,2039.658956198315
100930,Santiago ES,La Union,Region I,0.7134157263120187,0.042420443011523035,0.0,4917.976,601.5090651220479
131738,Paciencia ES,Agusan del Sur,CARAGA,0.7132067586124544,0.1334855812287301,0.0,5116.054,1696.157472372185
131495,Culit ES,Agusan del Norte,CARAGA,0.7131470535554362,0.10518538420204193,0.0,4802.226,1189.4469567509095
118934,Talaga ES,Cebu,Region VII,0.7130574959699086,0.04039047107289995,0.0,4793.414,507.91320380946985
117289,F. Barandiaran ES,Negros Occidental,NIR,0.7130276434413995,0.06701892650307495,0.0,4778.504,832.4933236873434
128949,Caputian Elementary School,Davao del Sur,Region XI,0.7129977909128903,0.004209206519792286,0.0,4826.556,72.60558424804528
112668,San Roque ES (Lagonoy South),Camarines Sur,Region V,0.7129082333273629,0.1759806555615261,0.0,5096.562,1983.5523371355746
131807,San Lorenzo ES,Agusan del Sur,CARAGA,0.7129082333273629,0.09716998029733126,0.0,4998.112,1111.1110923107556
106756,Care ES,Tarlac City,Region III,0.7128485282703445,0.007194459370708617,0.0,4842.92,113.3506135845766
105233,Sta. Rita Elementary School,Nueva Ecija,Region III,0.7128485282703445,0.14544151889665047,0.0,4958.61,1676.4345134540745
120357,Danawan Elementary School,Negros Oriental,NIR,0.7128186757418353,0.01837423129739091,0.0,4819.434,219.43588959876183
107511,Nasugbu East Central School,Batangas,Region IV-A,0.712758970684817,0.07382530300316437,0.0,4913.49,836.4890733894855
120419,Malalangsi ES,Tanjay City,NIR,0.7126694130992894,0.02586721595319119,0.0,4873.354,335.9024511431853
113668,Bagumbayan ES (Masbate City),Masbate City,Region V,0.712579855513762,0.030882440742730943,0.0,4951.842,423.5567223359818
126206,Zambowood ES,Zamboanga City,Region IX,0.7124902979282346,0.10249865663621704,0.0,5285.95,1554.598100957286
116390,Calmay ES,Iloilo,Region VI,0.7124007403427071,0.037644038450056705,0.0,4864.778,475.6934440540462
135627,Longlong ES,Benguet,CAR,0.7124007403427071,0.054107707922861126,0.0,5086.876,868.6333522401728
121170,San Diego Elementary School,Leyte,Region VIII,0.7123410352856887,0.32993014508328855,0.0,5503.8,3432.480993101054
128629,Cebulano ES,Davao del Norte,Region XI,0.7123410352856887,0.00967221923696937,0.0,4850.516,130.5752416961194
127353,Lapasan ES,Misamis Occidental,Region X,0.7123111827571795,0.13550062690309872,0.0,4858.142,1499.8921340669801
108954,Padre Burgos CS,Quezon,Region IV-A,0.7122514777001612,0.037255955579437616,0.0,4838.784,479.72900406792166
165005,Lutucan I ES,Quezon,Region IV-A,0.7121619201146336,0.065153143471252,0.0,5202.522,960.6937188906775
110896,Maquina B. Tunggal Memorial Elementary School (Tubtub ES),Palawan,Region IV-B,0.7120723625291062,0.01925488088841132,0.0,4887.512,263.4075129072821
114958,Barbaza CS,Antique,Region VI,0.712042510000597,0.12464923279001727,0.0,4937.93,1515.4127705348137
118796,Tinangnan ES,Bohol,Region VII,0.7119828049435787,0.026165741238282858,0.0,4918.53,374.6191520731421
106247,San Roque ES,Pampanga,Region III,0.7118932473580513,0.08948295420622132,0.0,4667.486,1058.5744214763552
112620,Gimaga ES,Camarines Sur,Region V,0.7117738372440146,0.07637769419069795,0.0,4860.424,823.926154593966
