,default,level_focused,delta_focused,mean_only,equal
default,1.0,0.8563904723847854,0.7537463140825663,0.9045601188214767,0.8899264193280227
level_focused,0.8563904723847854,1.0,0.6211266522504693,0.8029723421848967,0.7957560441958877
delta_focused,0.7537463140825663,0.6211266522504693,1.0,0.7490375286709401,0.7919120766247315
mean_only,0.9045601188214767,0.8029723421848967,0.7490375286709401,1.0,0.807590593226566
equal,0.8899264193280227,0.7957560441958877,0.7919120766247315,0.807590593226566,1.0
