,default,level_focused,delta_focused,mean_only,equal
default,1.0,0.639344262295082,0.3888888888888889,0.8181818181818182,0.639344262295082
level_focused,0.639344262295082,1.0,0.2345679012345679,0.5873015873015873,0.4925373134328358
delta_focused,0.3888888888888889,0.2345679012345679,1.0,0.3698630136986301,0.5625
mean_only,0.8181818181818182,0.5873015873015873,0.3698630136986301,1.0,0.5625
equal,0.639344262295082,0.4925373134328358,0.5625,0.5625,1.0
