School ID,school_name,division,region,mean_end,sd_end,skew_end,delta_mean,delta_sd,delta_skew,assessed_count,lgu_name,lgu_sef,sef_per_capita,need_score,impact_score,capacity_gap_score,need_pctile,impact_pctile,capacity_gap_pctile,priority_score,priority_pctile
133877,Datu Sangki Ampatuan CES,Maguindanao del Sur,BARMM,2.6916527565261745,1.485090022072821,0.12765272121011245,-0.09710879983822984,0.0015346135156408813,0.0945734702642537,1232.0,Ampatuan,402911.77,34.56986443586444,9.697795724830618,1232.0,0.39213380841709516,0.9734326367274344,0.9715429079590929,0.9405291240551357,0.8894880894389675,1.0
134130,Datu Tahir Ampatuan CES,Maguindanao del Sur,BARMM,2.3951406151139585,1.1603191672013122,-0.06855455847414017,-0.003171086393094491,0.0028491082626440623,-0.010763652902559838,962.0,Mamasapano,69821.34,8.270710732054015,8.668227063680618,962.0,0.40810858291057195,0.9572032014228546,0.9555913739439751,0.9711538461538461,0.888309686168413,0.9998888394842153
133225,Balindong CES,Lanao del Sur - I,BARMM,2.534501828561234,1.209165757692133,0.2609665931054066,-0.12466927565937524,-0.036828684317322,0.1692819947508466,577.0,Balindong,71188.3,7.0108627142013,9.531789796641164,577.0,0.4088738466223976,0.9714317474433082,0.8966207203201423,0.972821253890618,0.847332986735921,0.9997776789684304
134831,Sipangkot ES,Tawi-Tawi,BARMM,1.9264689501531607,1.2893035243828872,1.1532833271609102,0.44125127633899575,0.45257836441063104,-0.4000844677661588,528.0,Sitangkai,125821.21,15.299271643968872,10.905615397658421,528.0,0.40383925634417234,0.9839928857269897,0.8805024455313473,0.9625389061805246,0.8339515455646007,0.9996665184526456
124733,Sibuco CS,Zamboanga del Norte,Region IX,2.524671833064892,1.3332011206268113,0.2974393632369958,0.5701472206352449,0.1393392010148531,-0.8682601129535128,1277.0,Sibuco,257561.65,22.754806078275465,6.000423707295593,1277.0,0.3993105752064541,0.8942863494886616,0.9745442418852823,0.9553690529124055,0.832624777518013,0.9995553579368608
132986,Lamitan CES,Lamitan City,BARMM,2.857977451828673,1.4338962279722047,-0.06867080843420212,0.09489636044094274,0.09268979729604432,-0.33972877054778483,1758.0,Lamitan City,1669024.06,58.494517225668524,7.492535229418494,1758.0,0.37760136613943834,0.9345264562027568,0.9879946642952423,0.8924522009782125,0.8240075003124829,0.999444197421076
133875,Datu Dumpao Banog ES,Maguindanao del Sur,BARMM,2.5002721728795065,1.3360188214184459,0.26226263708086267,0.210436218378522,-0.07371724703210392,-0.26353438411438906,729.0,Ampatuan,402911.77,34.56986443586444,7.940809201313464,729.0,0.39213380841709516,0.9457536682970209,0.9258559359715429,0.9405291240551357,0.8235570666623466,0.9993330369052913
133397,Dansalan Primary School,Lanao del Sur - I,BARMM,1.7117073525138042,1.0036404777107206,1.8035606106298245,-0.0022154412476993457,0.0020540021560098154,0.1198368456410821,419.0,Masiu,16949.24,1.0998144182726626,13.273964529108115,419.0,0.41246436761828154,0.9955535793686082,0.8319253001333926,0.9901067140951534,0.8200323316225677,0.9992218763895064
133881,Kauran ES,Maguindanao del Sur,BARMM,3.017775154959826,1.653654941069337,-0.231375244110603,0.23809975250906223,0.021357902231026182,-0.20147074528781164,920.0,Ampatuan,402911.77,34.56986443586444,6.716353792832471,920.0,0.39213380841709516,0.915073365940418,0.9514228546020453,0.9405291240551357,0.8188450780455317,0.9991107158737217
133740,Jose Abad Santos Central Elementary School,Lanao del Sur - II,BARMM,3.1540185375979783,1.222049202917828,-0.8542687565281483,0.027759766494512395,0.01292856101083717,0.07046755988197884,1410.0,Malabang,95500.0,7.055781307720724,5.036315499679766,1410.0,0.4088465619268474,0.8588261449533126,0.9791018230324589,0.9720431302801245,0.8173699206685813,0.9989995553579368
500795,Glan Central Integrated SPED Center,Sarangani,Region XII,2.8014561068145367,1.581061546203502,0.02853675340157181,0.024321976194427997,0.1543941614135651,0.007698038118625818,1761.0,Glan,2463283.39,85.08457013574662,9.160629856444693,1761.0,0.36144989207331396,0.9654290795909293,0.9881614050689195,0.8434859937750111,0.8046854320677133,0.9988883948421521
133085,Bukutumus ES,Basilan,BARMM,1.7747133636063122,1.0200897089571028,1.2519187347015523,0.17974356290389748,0.1147027107171229,-0.7247344377777538,402.0,Tabuan-Lasa,2887.5,0.6305962000436777,10.943071910923722,402.0,0.4127493826917268,0.9843263672743442,0.8201422854602045,0.9957759004001778,0.8038776129438969,0.9987772343263672
216608,Kanguan E. Uy CES,Maguindanao del Sur,BARMM,2.9922406278585316,1.7697024392619571,-0.11258748881190939,0.7574161153977208,0.3661453992305892,-0.6513935203678786,896.0,Datu Piang,75460.26,5.033368463180363,5.090242476808743,896.0,0.41007502689907044,0.8611605157847932,0.9493663850600267,0.9778790573588262,0.7994717177345984,0.9986660738105825
134013,Bugawas ES,Maguindanao del Norte,BARMM,2.2302757352941174,1.3231069820569759,0.7469879496665887,0.31697974104339854,0.19380150923454553,-0.19029846359155944,506.0,Datu Odin Sinsuat,1031158.92,34.10706578903847,9.628089059452359,506.0,0.3924149240796824,0.9723210315695865,0.8727212094264117,0.9420297910182304,0.7993736854190057,0.9985549132947977
133888,Saniag ES,Maguindanao del Sur,BARMM,1.6161473547549494,1.131011987062395,1.666439519530724,0.12515266808515735,0.0363806760361991,-0.39014233083751226,452.0,Ampatuan,402911.77,34.56986443586444,12.886585877145766,452.0,0.39213380841709516,0.9942196531791907,0.8494886616273899,0.9405291240551357,0.7943505098971717,0.9984437527790129
133116,Buli-Buli ES,Basilan,BARMM,2.1881558966269905,1.4674085088676927,0.6209956659205329,0.43647416971935993,0.20985574612385927,-1.0495404243651236,419.0,Sumisip,11320.43,0.9773314339981007,8.857010486999892,419.0,0.41253876689649066,0.9599822143174744,0.8319253001333926,0.9930524677634505,0.793084959839532,0.9983325922632281
134845,Laud Sitangkai Annex ES,Tawi-Tawi,BARMM,2.336314715318639,1.3408022779799367,0.6031163790409231,0.49010627447576427,0.1622975183493942,-0.7475410563808103,495.0,Sitangkai,125821.21,15.299271643968872,7.6950811555689835,495.0,0.40383925634417234,0.9393063583815029,0.8671076033792797,0.9625389061805246,0.7839683853517057,0.9982214317474433
134100,Making ES,Maguindanao del Norte,BARMM,3.2894831333920314,1.4161906013588106,-0.8377207370057048,0.1025704916875152,-0.006639116248370325,-0.17309344863528664,892.0,Parang,132451.02,5.9419057018527655,4.679944325900787,892.0,0.40952315828496316,0.8434859937750111,0.9488661627389952,0.9745442418852823,0.779981666850504,0.9981102712316585
133097,Bacung ES,Basilan,BARMM,2.7280730897009966,1.3093817171923792,-0.06062337764399737,-0.04906871041527605,0.14703703880847985,-0.32074973107109067,396.0,Sumisip,11320.43,0.9773314339981007,8.386160591752013,396.0,0.41253876689649066,0.9528679413072476,0.8153068030235661,0.9930524677634505,0.7714823180674555,0.9979991107158738
216584,Darping Elementary School,Maguindanao del Norte,BARMM,2.2780941655941653,1.4369317209413968,0.5287373211716409,0.325643076397349,0.16388250719623998,-0.758109471476641,477.0,Sultan Mastura,273417.19,40.47027679100059,9.007177119417241,477.0,0.38854974796201797,0.9632058692752334,0.8589928857269897,0.9323032458870609,0.7713755756339308,0.9978879502000889
