,default,level_focused,delta_focused,mean_only,equal
default,1.0,0.8582127678195374,0.8196154440297178,0.9169854890079397,0.9350625104800283
level_focused,0.8582127678195374,1.0,0.6859920052827831,0.7881211572051071,0.8624347943412155
delta_focused,0.8196154440297178,0.6859920052827831,1.0,0.8529384474424897,0.8091697126729139
mean_only,0.9169854890079397,0.7881211572051071,0.8529384474424897,1.0,0.8603460127292537
equal,0.9350625104800283,0.8624347943412155,0.8091697126729139,0.8603460127292537,1.0
