,default,level_focused,delta_focused,mean_only,equal
default,1.0,0.6666666666666666,0.5748031496062992,0.8867924528301887,0.8348623853211009
level_focused,0.6666666666666666,1.0,0.36054421768707484,0.6,0.6666666666666666
delta_focused,0.5748031496062992,0.36054421768707484,1.0,0.6129032258064516,0.5748031496062992
mean_only,0.8867924528301887,0.6,0.6129032258064516,1.0,0.7543859649122807
equal,0.8348623853211009,0.6666666666666666,0.5748031496062992,0.7543859649122807,1.0
