,default,level_focused,delta_focused,mean_only,equal
default,1.0,0.7667844522968198,0.6025641025641025,0.8761726078799249,0.8656716417910447
level_focused,0.7667844522968198,1.0,0.4619883040935672,0.6750418760469011,0.7391304347826086
delta_focused,0.6025641025641025,0.4619883040935672,1.0,0.6528925619834711,0.6207455429497569
mean_only,0.8761726078799249,0.6750418760469011,0.6528925619834711,1.0,0.7667844522968198
equal,0.8656716417910447,0.7391304347826086,0.6207455429497569,0.7667844522968198,1.0
