School ID,school_name,division,region,mean_end,sd_end,skew_end,delta_mean,delta_sd,delta_skew,assessed_count,lgu_name,lgu_sef,sef_per_capita,need_score,impact_score,capacity_gap_score,need_pctile,impact_pctile,capacity_gap_pctile,priority_score,priority_pctile
124733,Sibuco CS,Zamboanga del Norte,Region IX,2.8002085905349796,1.2808816577015503,-0.09950708507541747,0.27553675747008777,-0.05231946292526102,-0.3969464483124133,1223.0,Sibuco,257561.65,22.754806078275465,9.416116703214476,1223.0,0.3785334690953664,0.9684003315375052,0.9725445503522586,0.9567447161210112,0.9010740994619437,1.0
134102,Parang Central Elementary School,Maguindanao del Norte,BARMM,3.54402171816277,1.2295016790308495,-1.140378580603556,0.0667782295292021,-0.1461710711614279,-0.18452369051287232,1190.0,Parang,132451.02,5.9419057018527655,6.38536258513335,1190.0,0.38800266557466073,0.91369664318276,0.9705760464152507,0.9739432242022379,0.8637046121355106,0.9998963945296312
133176,Tipo-Tipo CES,Basilan,BARMM,3.338809781767528,1.385996233714683,-0.6675063449561417,0.37643182260938257,-0.15347258338323289,-0.4734994219515085,1008.0,Tipo-Tipo,10872.92,1.506570597201053,6.245144223239049,1008.0,0.390500691412984,0.9101740571902196,0.9592830501450477,0.9881371736427683,0.8627569394981888,0.9997927890592623
133756,Malabang central elementary  pilot school,Lanao del Sur - II,BARMM,3.340869565217391,1.1405215979384953,-1.1208119444451423,-0.5540587896194009,-0.25675252769540924,0.2440317773882732,621.0,Malabang,95500.0,7.055781307720724,10.439003553302834,621.0,0.3873753195053146,0.9776212184003316,0.9077911313717364,0.9711976792374637,0.861914507173043,0.9996891835888935
133875,Datu Dumpao Banog ES,Maguindanao del Sur,BARMM,2.5760063691098174,1.3357795869970983,0.14210644237752884,0.07573419623031086,-0.00023923442134754502,-0.12015619470333383,710.0,Ampatuan,402911.77,34.56986443586444,12.12803803021141,710.0,0.3718791080691611,0.9866348943224202,0.9243162038955657,0.9413593037712391,0.8584844971707423,0.9995855781185247
134767,Lupa Pula Pilot Elem. School,Tawi-Tawi,BARMM,3.4809686116355203,1.5690615292956434,-0.7737787858043597,0.2496453900709219,-0.13076787930881895,-0.36145043645517344,741.0,Mapun,20372.11,3.009174298375185,7.006356864745247,741.0,0.38965440972699444,0.9280978035640282,0.9290302527973477,0.983008702859511,0.8475805150103458,0.9994819726481559
134831,Sipangkot ES,Tawi-Tawi,BARMM,1.9264689501531607,1.2893035243828872,1.1532833271609102,0.0,0.0,0.0,528.0,Sitangkai,125821.21,15.299271643968872,16.08385733932396,528.0,0.38273250191159575,0.9972026523000415,0.881319933692499,0.9631164525486946,0.8464393009683812,0.9993783671777869
133975,Kitango ES,Maguindanao del Sur,BARMM,2.718376196006858,1.381256491734953,-0.041596466476707894,0.513679856295929,-0.060457126238301795,-0.83210197689188,614.0,Datu Saudi-Ampatuan,58074.58,7.398978213785195,8.464750313535028,614.0,0.38718202751750463,0.9567965188561957,0.906133443845835,0.9708868628263573,0.8417446620056105,0.9992747617074181
217535,Abdel Mustafa Kong Ahaja Elementary School,Tawi-Tawi,BARMM,3.04339764250501,1.3842201442362558,-0.7580913333733791,-0.0336676833823466,0.11714898543985375,0.34081127701424874,556.0,Sitangkai,125821.21,15.299271643968872,10.665542372590863,556.0,0.38273250191159575,0.9792789059262329,0.8913178615830916,0.9631164525486946,0.8406550209167198,0.9991711562370493
134255,Kuya ES,Maguindanao del Sur,BARMM,3.0728465608465605,1.6346139277702574,-0.16210131641735592,0.16828783068783038,-0.08045172559093805,-0.1764000647299667,622.0,South Upi,485528.04,32.75725543111591,10.134580807404085,622.0,0.37289998789487944,0.9751346871114794,0.9082055532532117,0.9459697472026523,0.8377723175870174,0.9990675507666805
132988,Magsaysay ES,Lamitan City,BARMM,2.859196961475855,1.3900718634002844,-0.17756862187814784,0.24002990071215535,0.043511181251121744,-0.2685572850760532,928.0,Lamitan City,1669024.06,58.494517225668524,9.937548046239536,928.0,0.35840450030408755,0.9730625777041028,0.9521860754247824,0.89235391628678,0.8267985966161935,0.9989639452963116
134845,Laud Sitangkai Annex ES,Tawi-Tawi,BARMM,2.824404727114731,1.3618970174472835,-0.09781281850197868,0.4880900117960918,0.021094739467346857,-0.7009291975429017,531.0,Sitangkai,125821.21,15.299271643968872,8.339404441204266,531.0,0.38273250191159575,0.9548280149191878,0.8822005801906341,0.9631164525486946,0.8112809788649014,0.9988603398259428
