,default,level_focused,delta_focused,mean_only,equal
default,1.0,0.639344262295082,0.45985401459854014,0.8348623853211009,0.6666666666666666
level_focused,0.639344262295082,1.0,0.26582278481012656,0.5748031496062992,0.4492753623188406
delta_focused,0.45985401459854014,0.26582278481012656,1.0,0.43884892086330934,0.6
mean_only,0.8348623853211009,0.5748031496062992,0.43884892086330934,1.0,0.5625
equal,0.6666666666666666,0.4492753623188406,0.6,0.5625,1.0
