,default,level_focused,delta_focused,mean_only,equal
default,1.0,0.6722408026755853,0.5527950310559007,0.8181818181818182,0.7825311942959001
level_focused,0.6722408026755853,1.0,0.358695652173913,0.6155088852988692,0.5797788309636651
delta_focused,0.5527950310559007,0.358695652173913,1.0,0.5151515151515151,0.6207455429497569
mean_only,0.8181818181818182,0.6155088852988692,0.5151515151515151,1.0,0.6474464579901154
equal,0.7825311942959001,0.5797788309636651,0.6207455429497569,0.6474464579901154,1.0
